hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0_perm-5	CbG<rGuD	0.18384	0.53172	0.22828	dwpc	1
rephetio-v2.0	CbG<rGuDrD	0.44344	0.5438	0.24292	dwpc	0
rephetio-v2.0_perm-1	CbG<rGuDrD	0.39205	0.49974	0.20075	dwpc	1
rephetio-v2.0_perm-2	CbG<rGuDrD	0.37563	0.50553	0.20736	dwpc	1
rephetio-v2.0_perm-3	CbG<rGuDrD	0.3947	0.55717	0.25044	dwpc	1
rephetio-v2.0_perm-4	CbG<rGuDrD	0.38967	0.49688	0.19548	dwpc	1
rephetio-v2.0_perm-5	CbG<rGuDrD	0.40848	0.48375	0.18951	dwpc	1
rephetio-v2.0	CbGaD	0.31444	0.71627	0.4854	dwpc	0
rephetio-v2.0_perm-1	CbGaD	0.29166	0.57752	0.26233	dwpc	1
rephetio-v2.0_perm-2	CbGaD	0.30119	0.5718	0.25249	dwpc	1
rephetio-v2.0_perm-3	CbGaD	0.29881	0.57233	0.25889	dwpc	1
rephetio-v2.0_perm-4	CbGaD	0.30993	0.57612	0.25418	dwpc	1
rephetio-v2.0_perm-5	CbGaD	0.29854	0.59194	0.26785	dwpc	1
rephetio-v2.0	CbGaDaGaD	0.97907	0.69692	0.37236	dwpc	0
rephetio-v2.0_perm-1	CbGaDaGaD	0.96424	0.62272	0.30795	dwpc	1
rephetio-v2.0_perm-2	CbGaDaGaD	0.97166	0.6413	0.31512	dwpc	1
rephetio-v2.0_perm-3	CbGaDaGaD	0.97086	0.63075	0.30097	dwpc	1
rephetio-v2.0_perm-4	CbGaDaGaD	0.97298	0.62562	0.29491	dwpc	1
rephetio-v2.0_perm-5	CbGaDaGaD	0.97245	0.6477	0.31564	dwpc	1
rephetio-v2.0	CbGaDaGdD	0.44212	0.57487	0.27113	dwpc	0
rephetio-v2.0_perm-1	CbGaDaGdD	0.41113	0.57144	0.23881	dwpc	1
rephetio-v2.0_perm-2	CbGaDaGdD	0.43656	0.56373	0.23542	dwpc	1
rephetio-v2.0_perm-3	CbGaDaGdD	0.41695	0.57033	0.24284	dwpc	1
rephetio-v2.0_perm-4	CbGaDaGdD	0.44238	0.5656	0.23829	dwpc	1
rephetio-v2.0_perm-5	CbGaDaGdD	0.43709	0.57018	0.23508	dwpc	1
rephetio-v2.0	CbGaDaGuD	0.4453	0.5823	0.26997	dwpc	0
