name	alpha	incl_degrees	seed	auroc	auprc	tjur
rephetio-v2.0_perm-2	1	1	2	0.983906846190949	0.935322388655577	0.668109455501578
rephetio-v2.0_perm-2	0	1	3	0.98617779921933	0.955053933570569	0.523550369570442
rephetio-v2.0_perm-2	1	1	3	0.980372352089813	0.923561556684606	0.630021695949204
rephetio-v2.0_perm-2	0	1	4	0.989895180035961	0.966212592214116	0.563129360699
rephetio-v2.0_perm-2	1	1	4	0.980372352089813	0.923561556684606	0.630021695949204
rephetio-v2.0_perm-2	0	1	5	0.984690583746324	0.950601015909424	0.510207575077575
rephetio-v2.0_perm-2	1	1	5	0.980372352089813	0.923561556684606	0.630021695949204
rephetio-v2.0_perm-3	0	1	1	0.991622735844914	0.971378989214728	0.592102755300019
rephetio-v2.0_perm-3	1	1	1	0.978101837638696	0.910059466798961	0.624723704164744
rephetio-v2.0_perm-3	0	1	2	0.9889088197886	0.962648833687957	0.553285162655453
rephetio-v2.0_perm-3	1	1	2	0.982098592167002	0.928577961251819	0.663726092672941
rephetio-v2.0_perm-3	0	1	3	0.986550589886403	0.955054437537981	0.526864829237777
rephetio-v2.0_perm-3	1	1	3	0.983349853076612	0.933786994187976	0.676530981667214
rephetio-v2.0_perm-3	0	1	4	0.987802727950523	0.959143075099704	0.540121211991258
rephetio-v2.0_perm-3	1	1	4	0.980876715933502	0.922545043265646	0.651108910132011
rephetio-v2.0_perm-3	0	1	5	0.9889088197886	0.962648833687957	0.553285162655453
rephetio-v2.0_perm-3	1	1	5	0.979548704004203	0.916611559804699	0.63820968493638
rephetio-v2.0_perm-4	0	1	1	0.987562387614576	0.961463066356528	0.546033450346961
rephetio-v2.0_perm-4	1	1	1	0.979666242708632	0.928809393083066	0.639913923177698
rephetio-v2.0_perm-4	0	1	2	0.989719310556551	0.967656228464798	0.571833844716994
rephetio-v2.0_perm-4	1	1	2	0.976526029560088	0.918249108388612	0.612387992992331
rephetio-v2.0_perm-4	0	1	3	0.988689969738166	0.964680102316526	0.55900331859934
rephetio-v2.0_perm-4	1	1	3	0.979666242708632	0.928809393083066	0.639913923177698
rephetio-v2.0_perm-4	0	1	4	0.988689969738166	0.964680102316526	0.55900331859934
rephetio-v2.0_perm-4	1	1	4	0.979666242708632	0.928809393083066	0.639913923177698
rephetio-v2.0_perm-4	0	1	5	0.987562387614576	0.961463066356528	0.546033450346961
rephetio-v2.0_perm-4	1	1	5	0.978136923819115	0.923614571761977	0.626233274212039
rephetio-v2.0_perm-5	0	1	1	0.987927722468313	0.960893060177864	0.554885957512596
rephetio-v2.0_perm-5	1	1	1	0.981837638700043	0.94255305107658	0.659428923894539
rephetio-v2.0_perm-5	0	1	2	0.977982106047986	0.932076345418696	0.476305762972836
rephetio-v2.0_perm-5	1	1	2	0.981837638700043	0.94255305107658	0.659428923894539
rephetio-v2.0_perm-5	0	1	3	0.986636989605719	0.957112412176725	0.541935964999278
rephetio-v2.0_perm-5	1	1	3	0.983268277707105	0.947370432264016	0.672371968417597
rephetio-v2.0_perm-5	0	1	4	0.989145651506512	0.964492334967887	0.567736239828811
rephetio-v2.0_perm-5	1	1	4	0.980475417744819	0.937578664775955	0.646420739770106
rephetio-v2.0_perm-5	0	1	5	0.985219946493573	0.952958358215624	0.528889417986492
rephetio-v2.0_perm-5	1	1	5	0.983268277707105	0.947370432264016	0.672371968417597
