abbreviation	length	midpoint_index	optimal_join_index	sequential_complexity
CdGcG<rGdD	4	2	4	3.6220995476385744
CdGcG<rGuD	4	2	4	3.6282093011391097
CdGcGaDrD	4	2	3	3.6369800477037777
CdGcGbCpD	4	2	4	2.1002519910825486
CdGcGbCtD	4	2	4	2.3871343356852375
CdGcGcGaD	4	2	4	3.5080563101529294
CdGcGcGdD	4	2	4	3.2890196477081197
CdGcGcGuD	4	2	4	3.295129401208655
CdGcGdAlD	4	2	3	4.598646703605884
CdGcGdCpD	4	2	4	2.36120471619743
CdGcGdCtD	4	2	4	2.648087060800119
CdGcGdDrD	4	2	3	3.4179433852589676
CdGcGeAlD	4	2	3	5.310347518551638
CdGcGiGaD	4	2	4	3.8941692846071216
CdGcGiGdD	4	2	4	3.6751326221623115
CdGcGiGuD	4	2	4	3.6812423756628467
CdGcGr>GaD	4	2	4	3.841136210083384
CdGcGr>GdD	4	2	4	3.6220995476385744
CdGcGr>GuD	4	2	4	3.6282093011391097
CdGcGuAlD	4	2	3	4.5795778159553215
CdGcGuCpD	4	2	4	2.310021321563656
CdGcGuCtD	4	2	4	2.596903666166345
CdGcGuDrD	4	2	3	3.4240531387595032
CdGdAdGaD	4	2	2	5.061620532908725
CdGdAdGdD	4	2	2	4.842583870463915
CdGdAdGuD	4	2	2	4.84869362396445
CdGdAeGaD	4	2	2	5.773321347854479
CdGdAeGdD	4	2	2	5.554284685409669
CdGdAeGuD	4	2	2	5.560394438910204
CdGdAlDrD	4	2	2	4.727570441156732
CdGdAuGaD	4	2	2	5.042551645258162
CdGdAuGdD	4	2	2	4.823514982813352
CdGdAuGuD	4	2	2	4.829624736313888
CdGdCbGaD	4	2	4	2.8434076997286652
CdGdCbGdD	4	2	4	2.6243710372838556
CdGdCbGuD	4	2	4	2.630480790784391
CdGdCdGaD	4	2	2	3.1043604248435472
CdGdCdGdD	4	2	4	2.8853237623987376
CdGdCdGuD	4	2	4	2.8914335158992728
CdGdCpDrD	4	2	3	2.4901284537482784
CdGdCrCpD	4	2	4	2.513134418730622
CdGdCrCtD	4	2	4	2.8000167633333115
CdGdCtDrD	4	2	3	2.7770107983509673
CdGdCuGaD	4	2	2	3.0531770302097727
CdGdCuGdD	4	2	4	2.834140367764963
CdGdCuGuD	4	2	4	2.8402501212654983
CdGdDaGaD	4	2	2	3.493172839193011
CdGdDaGdD	4	2	2	3.2741361767482013
CdGdDaGuD	4	2	2	3.2802459302487366
CdGdDdGaD	4	2	2	3.2741361767482013
CdGdDdGdD	4	2	2	3.0550995143033917
CdGdDdGuD	4	2	2	3.061209267803927
CdGdDlAlD	4	2	3	4.120789403343125
CdGdDpCpD	4	2	4	1.6031655365913948
CdGdDpCtD	4	2	2	1.890047881194084
CdGdDpSpD	4	2	3	4.022356611452492
CdGdDrDrD	4	2	3	3.546867122809816
CdGdDtCpD	4	2	2	1.890047881194084
CdGdDtCtD	4	2	2	2.176930225796773
CdGdDuGaD	4	2	2	3.2802459302487366
CdGdDuGdD	4	2	2	3.061209267803927
CdGdDuGuD	4	2	2	3.067319021304462
CdGeAdGaD	4	2	2	5.773321347854479
CdGeAdGdD	4	2	2	5.554284685409669
CdGeAdGuD	4	2	2	5.560394438910204
CdGeAeGaD	4	2	2	6.485022162800233
CdGeAeGdD	4	2	2	6.265985500355423
CdGeAeGuD	4	2	2	6.272095253855958
CdGeAlDrD	4	2	2	5.439271256102486
CdGeAuGaD	4	2	2	5.754252460203916
CdGeAuGdD	4	2	2	5.535215797759107
CdGeAuGuD	4	2	2	5.541325551259642
CdGiG<rGaD	4	2	2	4.227249184537576
CdGiG<rGdD	4	2	4	4.008212522092767
CdGiG<rGuD	4	2	2	4.014322275593302
CdGiGaDrD	4	2	3	4.02309302215797
CdGiGbCpD	4	2	4	2.4863649655367404
CdGiGbCtD	4	2	4	2.7732473101394293
CdGiGcGaD	4	2	4	3.8941692846071216
CdGiGcGdD	4	2	4	3.6751326221623115
CdGiGcGuD	4	2	4	3.681242375662847
CdGiGdAlD	4	2	3	4.984759678060076
CdGiGdCpD	4	2	4	2.7473176906516223
CdGiGdCtD	4	2	4	3.0342000352543113
CdGiGdDrD	4	2	3	3.80405635971316
CdGiGeAlD	4	2	3	5.69646049300583
CdGiGiGaD	4	2	2	4.280282259061313
CdGiGiGdD	4	2	2	4.061245596616503
CdGiGiGuD	4	2	2	4.0673553501170385
CdGiGr>GaD	4	2	2	4.227249184537576
CdGiGr>GdD	4	2	4	4.008212522092767
CdGiGr>GuD	4	2	2	4.014322275593302
CdGiGuAlD	4	2	3	4.965690790409513
CdGiGuCpD	4	2	4	2.696134296017848
CdGiGuCtD	4	2	4	2.9830166406205367
CdGiGuDrD	4	2	3	3.810166113213695
CdGpBPpGaD	4	2	2	5.08603087248025
CdGpBPpGdD	4	2	2	4.86699421003544
CdGpBPpGuD	4	2	2	4.873103963535975
CdGpCCpGaD	4	2	2	4.2366320600022975
CdGpCCpGdD	4	2	2	4.017595397557487
CdGpCCpGuD	4	2	2	4.023705151058023
CdGpMFpGaD	4	2	2	4.162138750134658
CdGpMFpGdD	4	2	2	3.943102087689848
CdGpMFpGuD	4	2	2	3.9492118411903836
CdGpPWpGaD	4	2	2	4.238453219693523
CdGpPWpGdD	4	2	2	4.0194165572487135
CdGpPWpGuD	4	2	2	4.025526310749249
CdGr>G<rGaD	4	2	4	4.174216110013839
CdGr>G<rGdD	4	2	4	3.955179447569029
CdGr>G<rGuD	4	2	4	3.9612892010695644
CdGr>GaDrD	4	2	3	3.9700599476342324
CdGr>GbCpD	4	2	4	2.4333318910130033
CdGr>GbCtD	4	2	4	2.720214235615692
CdGr>GcGaD	4	2	4	3.841136210083384
CdGr>GcGdD	4	2	4	3.6220995476385744
CdGr>GcGuD	4	2	4	3.6282093011391097
CdGr>GdAlD	4	2	3	4.9317266035363385
CdGr>GdCpD	4	2	4	2.694284616127885
CdGr>GdCtD	4	2	4	2.981166960730574
CdGr>GdDrD	4	2	3	3.7510232851894223
CdGr>GeAlD	4	2	3	5.6434274184820925
CdGr>GiGaD	4	2	4	4.227249184537576
CdGr>GiGdD	4	2	4	4.008212522092767
CdGr>GiGuD	4	2	4	4.014322275593302
CdGr>Gr>GaD	4	2	4	4.174216110013839
CdGr>Gr>GdD	4	2	4	3.955179447569029
CdGr>Gr>GuD	4	2	4	3.9612892010695644
CdGr>GuAlD	4	2	3	4.912657715885777
CdGr>GuCpD	4	2	4	2.6431012214941108
CdGr>GuCtD	4	2	4	2.9299835660967997
CdGr>GuDrD	4	2	3	3.757133038689958
CdGuAdGaD	4	2	2	5.042551645258162
CdGuAdGdD	4	2	2	4.823514982813352
CdGuAdGuD	4	2	2	4.829624736313888
CdGuAeGaD	4	2	2	5.754252460203916
CdGuAeGdD	4	2	2	5.535215797759107
CdGuAeGuD	4	2	2	5.541325551259642
CdGuAlDrD	4	2	2	4.70850155350617
CdGuAuGaD	4	2	2	5.0234827576076
CdGuAuGdD	4	2	2	4.80444609516279
CdGuAuGuD	4	2	2	4.810555848663325
CdGuCbGaD	4	2	4	2.792224305094891
CdGuCbGdD	4	2	4	2.573187642650081
CdGuCbGuD	4	2	4	2.5792973961506167
