metapath	pct_affected	mean_PC_dupl	mean_PC_nodupl	mean_pct_PC_increase	mean_pct_PC_increase_nonind	mean_pct_PC_increase_ind	auroc_dupl	auroc_nodupl	auroc_diff	indication_metaedge
CiDaGuCiD	45.63253012048193	104.09186746987952	71.39006024096386	45.80722739067147	0.0	48.170907558178214	0.8968490622642024	0.7807980072546115	0.1160510550095909	True
CiDsDsDsD	43.373493975903614	55.01355421686747	41.079819277108435	33.9186860725153	0.0	34.92375056620867	0.9140901280920737	0.7746161328739352	0.13947399521813852	True
CiDaGdCiD	42.92168674698795	86.69728915662651	59.05421686746988	46.80965010711006	0.0	48.94275124656696	0.8966581514377403	0.7854753225029318	0.11118282893480846	True
CiDaGkd>GaD	42.01807228915663	297.35692771084337	203.9367469879518	45.808409765607706	0.0	49.89824236817762	0.8689988090800824	0.7654615041954927	0.10353730488458968	True
CiDaG<kdGaD	42.01807228915663	307.519578313253	214.09939759036143	43.6340231566804	0.0	47.20704403281533	0.8956990518095621	0.7765706960972373	0.11912835571232483	True
CiDiCuGaD	41.86746987951807	101.21536144578313	75.14909638554217	34.68606585302311	1.4210854715202004e-14	37.2343171844075	0.8789307175519777	0.7681933472122473	0.11073737033973041	True
CcSEcCsCiD	40.963855421686745	5057.456325301205	4846.248493975903	4.358171719585613	0.0	4.968177055029642	0.8985263502395476	0.8787443522213837	0.019781998018163938	True
CsCcSEcCiD	40.963855421686745	5000.828313253012	4789.620481927711	4.4096986832721825	0.0	5.407051814656143	0.770320639278539	0.7534795770870645	0.01684106219147452	True
CiDaGou>GaD	40.51204819277108	63.32078313253012	43.875	44.320873236535874	0.0	48.21688636618248	0.8833625760234184	0.778929808452804	0.10443276757061437	True
CiDaG<ouGaD	40.51204819277108	62.868975903614455	43.42319277108434	44.78202060139424	0.0	48.528582703799714	0.8757897799070901	0.7731343012209202	0.10265547868616987	True
CiDiCdGaD	40.06024096385542	81.12801204819277	59.21536144578313	37.00501030036369	0.0	39.6101598018131	0.8634260311457377	0.7648160437822162	0.09860998736352145	True
CbGbCsCiD	39.45783132530121	193.70030120481928	179.46385542168676	7.932764929005415	0.0	8.764057444303305	0.9160674187947164	0.8818852898662715	0.034182128928444966	True
CsCbGbCiD	39.45783132530121	193.03313253012047	178.79668674698794	7.962365546112309	1.4210854715202004e-14	9.41890356907993	0.8078027982072564	0.7752297748161348	0.03257302339112167	True
CiDaG<odGaD	36.596385542168676	39.394578313253014	27.66114457831325	42.418467904393765	0.0	45.780937830532366	0.864726042964027	0.7593978127073884	0.10532823025663862	True
CiDaGod>GaD	36.596385542168676	37.924698795180724	26.191265060240966	44.799033983094716	0.0	48.44546698171871	0.8569486995336323	0.7571296102691842	0.09981908926444805	True
CsCsCsCiD	35.8433734939759	400.1792168674699	331.7484939759036	20.62728968907895	0.0	21.059412961563964	0.8347530432094838	0.7446704060946009	0.09008263711488296	True
CbGuAeGaD	34.33734939759036	4310.236445783133	4305.909638554217	0.10048532347670402	0.06572322541421727	0.10657208206009727	0.7809252811389196	0.7808525532050292	7.27279338903486e-05	False
CbGeAuGaD	34.33734939759036	3901.984939759036	3897.6581325301204	0.11101043451716919	0.07449205728438812	0.11721543500803477	0.7916162874207948	0.7913708306439149	0.0002454567768799265	False
CiDaGeGaD	33.734939759036145	25.662650602409638	16.97289156626506	51.19787045252886	0.0	56.42479953060828	0.8800898189983547	0.780816189238084	0.09927362976027065	True
CbGaDiCiD	33.13253012048193	61.149096385542165	57.67319277108434	6.026896461679058	0.0	6.920747248793063	0.8602987299884544	0.845189501722743	0.015109228265711372	True
CuGkd>GdCiD	29.367469879518072	1855.7078313253012	1586.480421686747	16.970106025784517	-1.4210854715202004e-14	17.90906167444571	0.7477340703097299	0.7373521577468886	0.010381912562841378	True
CdG<kdGuCiD	29.367469879518072	1876.046686746988	1606.8192771084337	16.75530120120571	0.0	18.06599550085798	0.7384612587387159	0.7279520722915663	0.010509186447149599	True
CbGeAdGaD	29.216867469879517	4067.647590361446	4065.0918674698796	0.06286999100851176	0.04376584039069087	0.06623682453690094	0.7829071173374303	0.7827252975027045	0.0001818198347258715	False
CbGdAeGaD	29.216867469879517	5918.231927710844	5915.676204819277	0.04320254867033668	0.03067840881318773	0.045358836140010794	0.7751615923781126	0.7751434103946399	1.818198347269817e-05	False
CbGkd>GdCiD	28.012048192771083	207.06777108433735	193.7379518072289	6.880334571912755	0.0	7.63254113345522	0.7869162446931336	0.7753343212211021	0.011581923472031463	True
CdG<kdGbCiD	28.012048192771083	205.05572289156626	191.72590361445782	6.952539550374695	0.0	7.555464501865188	0.745179501631833	0.7390430822098383	0.006136419421994721	True
CsCiDiCiD	27.259036144578314	41.528614457831324	37.18222891566265	11.689416339260404	0.0	12.31754161331628	0.7794025400230911	0.7669660633278483	0.012436476695242726	True
CdG<kdGdCiD	27.259036144578314	2030.308734939759	1756.8418674698796	15.56582140564042	0.0	16.752667914630422	0.7403521850198637	0.7293202665478776	0.011031918471986035	True
CdGkd>GdCiD	27.259036144578314	2001.4984939759036	1728.0316265060242	15.825339263194678	-1.4210854715202004e-14	16.79503128569644	0.7445067682433476	0.7334839407630978	0.011022827480249853	True
CdGku>GuCiD	26.656626506024097	1186.5963855421687	1004.9563253012049	18.07442330257713	0.0	19.131167199634532	0.7378976172510661	0.7266611514650134	0.01123646578605264	True
CuG<kuGdCiD	26.656626506024097	1195.9442771084337	1014.3042168674699	17.907848278688263	0.0	18.912739743426883	0.7484704406403695	0.7374157946890427	0.01105464595132677	True
CuGku>GuCiD	25.301204819277107	1055.1310240963855	877.4352409638554	20.251726262707734	1.4210854715202004e-14	21.341171150802623	0.7475249774997954	0.7375203410940101	0.010004636405785305	True
CuG<kuGuCiD	25.301204819277107	1066.6671686746988	888.9713855421687	19.9889204559893	1.4210854715202004e-14	21.181868937746955	0.744706770061546	0.7330884826225694	0.011618287438976527	True
CdGdCsCiD	23.343373493975903	238.3328313253012	207.61144578313252	14.797539425769301	0.0	15.811462321918555	0.7553250484095311	0.7451113191938109	0.010213729215720169	True
CsCdGdCiD	23.343373493975903	240.69277108433735	209.97138554216866	14.631224851349529	0.0	16.094901453346154	0.7231020282002564	0.7111155555959601	0.011986472604296305	True
CbGku>GuCiD	22.289156626506024	106.79969879518072	97.65963855421687	9.359096937359283	0.0	10.213904643295933	0.7669706088237165	0.7570796098146345	0.009890999009081969	True
CuG<kuGbCiD	22.289156626506024	105.56475903614458	96.42469879518072	9.47896167182084	-1.4210854715202004e-14	10.054505392554788	0.7412158292348112	0.7360885098955445	0.005127319339266689	True
CsCuGuCiD	20.783132530120483	227.9262048192771	191.01506024096386	19.32368292413706	0.0	20.607747349303366	0.7182610751006827	0.7048336803061845	0.01342739479449817	True
CuGuCsCiD	20.783132530120483	236.70030120481928	199.789156626506	18.47504899743707	0.0	19.400929319475352	0.752743206756425	0.7416067418794717	0.0111364648769533	True
CbGiGbCiD	20.33132530120482	11.356927710843374	10.140060240963855	12.000594088816285	0.0	13.550226396109338	0.8275075227956619	0.806307330066637	0.021200192729024847	True
CdGku>GdCiD	20.33132530120482	463.7951807228916	396.02861445783134	17.111532801192567	0.0	18.112765520655955	0.7229565723324757	0.7117382885298956	0.011218283802580054	True
CdG<kuGdCiD	20.33132530120482	468.8313253012048	401.06475903614455	16.896664376077226	0.0	17.696125469961785	0.7297202701842744	0.7185383503486396	0.01118191983563488	True
CuG<kdGdCiD	20.180722891566266	691.9277108433735	584.441265060241	18.39131700805784	0.0	19.39171142972812	0.7216883789852636	0.7121973836125783	0.009490995372685274	True
CdGkd>GuCiD	20.180722891566266	702.9819277108434	595.4954819277109	18.04991793307687	0.0	19.144581545064383	0.7358066891517194	0.7269156992336294	0.008890989918090009	True
CuG<kdGuCiD	19.879518072289155	639.0768072289156	530.0753012048193	20.563400289797414	0.0	21.704461624273563	0.7183974399767271	0.7090882644387677	0.009309175537959402	True
CuGkd>GuCiD	19.879518072289155	647.605421686747	538.6039156626506	20.23778566295617	0.0	21.345613910909805	0.7461249647724071	0.7353521395649052	0.01077282520750189	True
CdG<odGdCiD	19.728915662650603	161.01656626506025	140.75301204819277	14.396533276267931	-1.4210854715202004e-14	15.502580883030703	0.7301520922917482	0.7196338148528623	0.010518277438885892	True
CdG<kuGuCiD	19.728915662650603	398.56475903614455	332.60692771084337	19.830564498236356	0.0	20.73890272660978	0.7296975427049337	0.7183610760097819	0.011336466695151759	True
CdGod>GdCiD	19.728915662650603	164.01807228915663	143.75451807228916	14.095942505735806	0.0	14.99414944001785	0.6966836062146019	0.6859835089409904	0.010700097273611542	True
CuGku>GdCiD	19.728915662650603	399.4322289156627	333.47439759036143	19.77897907662573	0.0	20.748531362516573	0.7345748597714525	0.7223247484068036	0.01225011136464893	True
CuGaDiCiD	19.57831325301205	73.46987951807229	66.83433734939759	9.928342872594541	0.0	10.651774489894592	0.705920053818671	0.6994472677024336	0.006472786116237361	True
CuG<ouGdCiD	18.22289156626506	122.40210843373494	104.98343373493977	16.59183175773572	1.4210854715202004e-14	17.607745824896853	0.7339112173747033	0.7215201956381422	0.012391021736561147	True
CdGou>GuCiD	18.22289156626506	122.93524096385542	105.51656626506023	16.507999942908526	0.0	17.44205335464703	0.6955381412558297	0.6843289484449859	0.01120919281084376	True
CdG<odGuCiD	17.92168674698795	215.10993975903614	187.98343373493975	14.43026413824596	0.0	15.646282140375249	0.7376612514659225	0.7264520586550787	0.011209192810843871	True
CuGod>GdCiD	17.92168674698795	203.25	176.1234939759036	15.401980401210821	0.0	16.208190481332494	0.7150701370012454	0.7030654824134764	0.012004654587769004	True
CdGaDiCiD	17.620481927710845	62.30421686746988	56.57379518072289	10.129109543458014	0.0	10.747373178171955	0.7227520250184093	0.7164519677451613	0.006300057273248005	True
CuGou>GuCiD	17.46987951807229	159.45180722891567	133.35542168674698	19.56904729638164	0.0	20.457845834169618	0.7224247493159031	0.7131519377448887	0.009272811571014339	True
CuG<ouGuCiD	17.46987951807229	170.38855421686748	144.2921686746988	18.08579480221273	0.0	19.166021457803353	0.7494795407230975	0.7388885353503214	0.01059100537277613	True
CdGiGdCiD	16.867469879518072	205.5737951807229	175.65813253012047	17.030616356730718	1.4210854715202004e-14	18.046369648957054	0.7227520250184092	0.7107337339430359	0.012018291075373333	True
CuGuAeGaD	16.716867469879517	18217.581325301206	18211.753012048193	0.032003032597458514	0.029569233759843883	0.03215950551458491	0.7126337512159202	0.71263375121592	2.220446049250313e-16	False
CuGdAeGaD	16.716867469879517	17710.781626506025	17706.902108433736	0.021909637544325733	0.021185853942256472	0.021957004325159346	0.7117519250175001	0.7117610160092365	-9.090991736404597e-06	False
CuGeAuGaD	16.716867469879517	20004.14457831325	19998.316265060243	0.02914401980525838	0.027190024282205627	0.029268355981059813	0.7122564750588642	0.712247384067128	9.090991736293574e-06	False
CuGeAdGaD	16.716867469879517	20039.655120481926	20035.775602409638	0.01936295429372592	0.01808266971116268	0.019449910300025408	0.7137473977036155	0.7137383067118792	9.090991736293574e-06	False
CdGuAeGaD	16.41566265060241	17031.98042168675	17026.593373493975	0.03163902534467411	0.029786233684347962	0.03177041940931247	0.7075973417940163	0.7076155237774889	-1.818198347258715e-05	False
CbGkd>GuCiD	16.41566265060241	59.91566265060241	55.95331325301205	7.0815277366565255	0.0	7.832455121907657	0.778043436758516	0.7664978772534297	0.01154555950508629	True
CuGiGuCiD	16.41566265060241	176.56024096385542	147.46686746987953	19.728752629751426	0.0	20.692166796987962	0.7151019554723226	0.7068336984881681	0.008268256984154454	True
CuG<kdGbCiD	16.41566265060241	58.05722891566265	54.09487951807229	7.3248141652050265	0.0	7.7580868693421365	0.6981018009254629	0.6913199210901917	0.006781879835271232	True
CdGeAuGaD	16.41566265060241	21228.19578313253	21222.808734939757	0.025383295208712298	0.02169545611535284	0.025673449642084734	0.7072473386121692	0.7072473386121692	0.0	False
CuGiGdCiD	16.265060240963855	167.78313253012047	142.26807228915663	17.9344949505642	0.0	18.83490828237909	0.7135337593978127	0.7019518359257813	0.011581923472031463	True
CdGiGuCiD	16.265060240963855	172.04819277108433	146.53313253012047	17.412485354272448	0.0	18.374872562417295	0.7250475004318221	0.7156519604723679	0.009395539959454191	True
CdGdAeGaD	16.265060240963855	15932.280120481928	15929.117469879518	0.0198545249502331	0.017048627518377657	0.020067115500140176	0.7080064364221492	0.7080064364221492	0.0	False
CdGeAdGaD	16.265060240963855	21332.655120481926	21329.49246987952	0.014827594265895527	0.011705975393482504	0.01508655807558057	0.7095928144801317	0.7095837234883954	9.090991736293574e-06	False
CuG<kuG<kdGaD	15.963855421686747	4124.69578313253	4123.012048192771	0.04083749744309273	0.06449729450822872	0.0394921685447116	0.7200429094809953	0.7200792734479403	-3.6363966945063275e-05	False
CuGkd>Gku>GaD	15.963855421686747	824.5060240963855	822.8222891566265	0.20462923306133973	0.3457311303588284	0.1971569315212207	0.7220429276629787	0.7220883826216602	-4.545495868146787e-05	False
CdG<kdG<kdGaD	15.060240963855422	7309.692771084337	7305.879518072289	0.052194304636643096	0.05280331442342856	0.05214412305387839	0.7084155310502823	0.7084337130337548	-1.8181983472476126e-05	False
CdGkd>Gkd>GaD	15.060240963855422	1043.1114457831325	1039.2981927710844	0.36690653737026935	0.49018375606445375	0.35936541327023974	0.6930063000572733	0.6931426649333176	-0.0001363648760442926	False
CdG<ouGuCiD	14.608433734939759	61.131024096385545	51.0316265060241	19.790467758595256	0.0	20.67200986436498	0.6920790189001718	0.6830062091473559	0.00907280975281588	True
CbGiGuCiD	14.608433734939759	22.811746987951807	21.33885542168675	6.902392547109869	0.0	8.006549324600897	0.7343021300193638	0.7227202065473324	0.011581923472031463	True
CuGou>GdCiD	14.608433734939759	61.65512048192771	51.55572289156626	19.589285192650365	0.0	20.534648008084005	0.6957426885698961	0.6847244065855145	0.011018281984381595	True
CuGiGbCiD	14.608433734939759	23.162650602409638	21.68975903614458	6.790723510623522	0.0	7.149645441918281	0.6916471967926981	0.6793470849734997	0.012300111819198434	True
CuGiGku>GaD	14.006024096385541	396.65210843373495	395.28915662650604	0.3447986832881327	0.4968172643999367	0.33695260226771495	0.7113110119182902	0.7112019200174546	0.00010909190083552289	False
CuG<kuGiGaD	14.006024096385541	4156.557228915663	4155.194277108434	0.03280115721031507	0.03838011909832062	0.03244228282572692	0.7130428458440532	0.7130337548523169	9.090991736293574e-06	False
CdGiGbCiD	13.855421686746988	26.24397590361446	24.59036144578313	6.72464478196963	-1.4210854715202004e-14	7.1689736223556935	0.6932972117928344	0.6876971608832808	0.005600050909553622	True
CbGiGdCiD	13.855421686746988	25.667168674698797	24.01355421686747	6.886171213546575	-1.4210854715202004e-14	7.783921735431733	0.7612205565505141	0.7487840798552714	0.012436476695242726	True
CdG<ouGdCiD	13.704819277108435	45.04216867469879	38.118975903614455	18.162063924775794	0.0	18.9543561621243	0.6933517577432522	0.6857335066682423	0.0076182510750099075	True
CdGou>GdCiD	13.704819277108435	47.27710843373494	40.3539156626506	17.156185855570072	1.4210854715202004e-14	17.926220558415196	0.6762152383203484	0.6679742543114028	0.008240984008945573	True
CuG<odGdCiD	13.55421686746988	42.295180722891565	35.774096385542165	18.228508882714493	0.0	19.26070904319201	0.685465322412022	0.6795970872462477	0.005868235165774283	True
CdGod>GuCiD	13.55421686746988	47.08734939759036	40.566265060240966	16.07514107514106	0.0	16.844971795370554	0.673778852535023	0.6654424131128464	0.008336439422176656	True
CdG<kuGbCiD	13.55421686746988	28.731927710843372	26.596385542168676	8.029445073612678	0.0	8.458601765688371	0.6889289902635479	0.6865789688997174	0.0023500213638305567	True
CbGku>GdCiD	13.55421686746988	27.727409638554217	25.591867469879517	8.344612487494857	0.0	9.102580562331497	0.7575068864262403	0.7497613614669223	0.0077455249593180175	True
CuG<ouGku>GaD	13.403614457831326	321.24397590361446	320.1701807228916	0.33538263254197886	0.4103558904722746	0.3303378683668825	0.7199519995636323	0.7200429094809953	-9.090991736293574e-05	False
CuG<kuGou>GaD	13.403614457831326	359.4277108433735	358.3539156626506	0.2996465599482292	0.35195494976643715	0.2959697732997455	0.7206247329521176	0.7206156419603813	9.090991736293574e-06	False
CuG<odGuCiD	13.102409638554217	65.7816265060241	55.03463855421687	19.52767971978217	0.0	20.598677943596115	0.6813925581141647	0.674028854807771	0.007363703306393687	True
CuGod>GuCiD	13.102409638554217	63.390060240963855	52.64307228915663	20.41481905306823	1.4210854715202004e-14	21.41656662665065	0.6754697769979726	0.6653242302202748	0.010145546777697856	True
CdG<kdGiGaD	12.801204819277109	7762.30421686747	7759.594879518072	0.034915963931950955	0.0538400425467529	0.03307448766487653	0.7048791352648662	0.7049245902235476	-4.545495868135685e-05	False
CdGiGkd>GaD	12.801204819277109	516.4096385542168	513.7003012048193	0.5274159549922501	1.2845282230693016	0.48237903250856107	0.684678951626833	0.684933499395449	-0.00025454776861599804	False
CbGod>GdCiD	12.650602409638553	9.286144578313253	8.938253012048193	3.8921651221566975	-1.4210854715202004e-14	4.516129032258064	0.7166474240674916	0.7038836716697424	0.012763752397749184	True
CuG<kuG<kuGaD	12.650602409638553	2372.2861445783133	2371.2319277108436	0.04445861474577839	0.07371257180621171	0.042919774784834885	0.7207065518777445	0.7207247338612169	-1.8181983472476126e-05	False
CdG<odGbCiD	12.650602409638553	12.593373493975903	12.245481927710843	2.840978969376451	1.4210854715202004e-14	3.0795893880815726	0.7126064782407112	0.7037518522895664	0.008854625951144834	True
CuGku>Gku>GaD	12.650602409638553	421.8343373493976	420.7801204819277	0.2505386581149338	0.41187331344981715	0.24197560644664406	0.7164974227038429	0.7165156046873156	-1.818198347269817e-05	False
CuGku>GbCiD	12.5	17.188253012048193	16.28614457831325	5.539115960791591	-1.4210854715202004e-14	5.779621767657275	0.6996063600578186	0.6985881689833543	0.0010181910744643252	True
CbG<kuGuCiD	12.5	17.92921686746988	17.02710843373494	5.298071820272412	0.0	6.152423993426453	0.652633205756416	0.6515241047645888	0.001109100991827261	True
CiDdGdCiD	12.198795180722891	16.253012048192772	9.17921686746988	77.0631665299426	0.0	80.94089264173707	0.6415149228629352	0.6221511104646404	0.019363812398294766	True
CdGku>Gkd>GaD	12.048192771084338	632.2740963855422	628.9427710843373	0.5296706559583271	0.7740374924410531	0.5142396000132408	0.6849607723706578	0.685060773279757	-0.00010000090909922932	False
CdG<kdG<kuGaD	12.048192771084338	4361.126506024097	4357.795180722892	0.0764452013702055	0.09079130294976778	0.07531406337267299	0.7101155465049682	0.7101428194801771	-2.7272975208880723e-05	False
CdGkd>Gku>GaD	12.048192771084338	915.0301204819277	914.0783132530121	0.10412753646110673	0.07118022284885228	0.10623732295972843	0.7134973954308677	0.7134246674969773	7.27279338903486e-05	False
CdG<kuG<kdGaD	12.048192771084338	1709.7816265060242	1708.8298192771085	0.055699357430341934	0.05146782271314976	0.05589653054109078	0.7093973581578014	0.709415540141274	-1.818198347258715e-05	False
CdGiGku>GaD	11.897590361445783	461.230421686747	460.16265060240966	0.23204210140468717	0.20626390924387294	0.23369612538093065	0.712442840389458	0.7123519304720951	9.090991736293574e-05	False
CdG<kuGiGaD	11.897590361445783	1495.1340361445782	1494.066265060241	0.07146745156541101	0.08173449195561489	0.0709626383295614	0.6989018081982563	0.6989018081982563	0.0	False
CuGiGou>GaD	11.295180722891565	74.17168674698796	73.8012048192771	0.5019998367480412	0.6429489927132437	0.49495403998200516	0.7032745752234112	0.7032927572068838	-1.818198347258715e-05	False
CuG<ouGiGaD	11.295180722891565	724.6792168674699	724.308734939759	0.051149725226181886	0.050465969114810605	0.05119476616624752	0.712979208901899	0.712979208901899	0.0	False
CiDuGbCiD	11.295180722891565	1.9879518072289157	1.3072289156626506	52.07373271889401	0.0	54.326923076923094	0.6399239993090846	0.6191874471586106	0.020736552150473986	True
CiDuGuCiD	10.993975903614459	13.644578313253012	8.256024096385541	65.26815031010582	0.0	67.7523196364325	0.64500586368967	0.6256920517459249	0.01931381194374504	True
CbGou>GuCiD	10.843373493975903	7.555722891566265	7.233433734939759	4.455548615448677	0.0	5.274833620902157	0.6721788379894363	0.6648514986499876	0.007327339339448735	True
CuG<ouGbCiD	10.843373493975903	12.213855421686747	11.891566265060241	2.7102330293819534	0.0	2.9631680974799224	0.6885380776188874	0.6849471358830534	0.0035909417358339635	True
CdG<kdGod>GaD	10.69277108433735	461.9683734939759	460.17469879518075	0.38978125122726226	0.9700515821079279	0.3358633368863053	0.6967972436113056	0.6971063373303392	-0.00030909371903364846	False
CdG<odGkd>GaD	10.69277108433735	490.06626506024094	488.2725903614458	0.36735109326275506	0.9101744501029287	0.3166670039052235	0.6870517004700043	0.6874062491477195	-0.00035454867771522736	False
CdGku>GiGaD	10.542168674698795	806.3283132530121	805.0451807228916	0.1593863997754994	0.16207455429497486	0.15919708599247429	0.7015881962563296	0.7015791052645933	9.090991736293574e-06	False
CdGiG<kuGaD	10.542168674698795	329.0090361445783	327.7259036144578	0.39152612471855264	0.5540974044911025	0.38345962580127946	0.7107564614223767	0.7107564614223767	0.0	False
