hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0_perm-5	CpDlAlDrD	0.1476	0.52646	0.13123	dwpc	1
rephetio-v2.0	CpDlAuGaD	0.15258	0.53095	0.2651	dwpc	0
rephetio-v2.0_perm-1	CpDlAuGaD	0.14761	0.52894	0.1372	dwpc	1
rephetio-v2.0_perm-2	CpDlAuGaD	0.14121	0.53116	0.14515	dwpc	1
rephetio-v2.0_perm-3	CpDlAuGaD	0.15306	0.52812	0.14017	dwpc	1
rephetio-v2.0_perm-4	CpDlAuGaD	0.15022	0.5269	0.13397	dwpc	1
rephetio-v2.0_perm-5	CpDlAuGaD	0.14304	0.53092	0.15468	dwpc	1
rephetio-v2.0	CpDlAuGdD	0.073642	0.52852	0.28219	dwpc	0
rephetio-v2.0_perm-1	CpDlAuGdD	0.070949	0.52446	0.14304	dwpc	1
rephetio-v2.0_perm-2	CpDlAuGdD	0.066391	0.52624	0.14815	dwpc	1
rephetio-v2.0_perm-3	CpDlAuGdD	0.070709	0.52882	0.1548	dwpc	1
rephetio-v2.0_perm-4	CpDlAuGdD	0.071337	0.52438	0.14234	dwpc	1
rephetio-v2.0_perm-5	CpDlAuGdD	0.067313	0.52292	0.15007	dwpc	1
rephetio-v2.0	CpDlAuGuD	0.072848	0.52952	0.28008	dwpc	0
rephetio-v2.0_perm-1	CpDlAuGuD	0.072805	0.53052	0.15046	dwpc	1
rephetio-v2.0_perm-2	CpDlAuGuD	0.067247	0.53016	0.15377	dwpc	1
rephetio-v2.0_perm-3	CpDlAuGuD	0.072554	0.53416	0.1604	dwpc	1
rephetio-v2.0_perm-4	CpDlAuGuD	0.072619	0.52723	0.14673	dwpc	1
rephetio-v2.0_perm-5	CpDlAuGuD	0.068026	0.52406	0.15324	dwpc	1
rephetio-v2.0	CpDpCbGaD	0.10278	0.53031	0.2843	dwpc	0
rephetio-v2.0_perm-1	CpDpCbGaD	0.1389	0.53215	0.14484	dwpc	1
rephetio-v2.0_perm-2	CpDpCbGaD	0.13692	0.53316	0.15089	dwpc	1
rephetio-v2.0_perm-3	CpDpCbGaD	0.13588	0.53077	0.14656	dwpc	1
rephetio-v2.0_perm-4	CpDpCbGaD	0.14324	0.52896	0.14006	dwpc	1
rephetio-v2.0_perm-5	CpDpCbGaD	0.13234	0.52835	0.1381	dwpc	1
rephetio-v2.0	CpDpCbGdD	0.030199	0.50344	0.21978	dwpc	0
rephetio-v2.0_perm-1	CpDpCbGdD	0.04868	0.51722	0.14335	dwpc	1
rephetio-v2.0_perm-2	CpDpCbGdD	0.051399	0.52087	0.15053	dwpc	1
rephetio-v2.0_perm-3	CpDpCbGdD	0.049269	0.5171	0.14358	dwpc	1
rephetio-v2.0_perm-4	CpDpCbGdD	0.053538	0.5169	0.14246	dwpc	1
rephetio-v2.0_perm-5	CpDpCbGdD	0.047062	0.51884	0.14864	dwpc	1
rephetio-v2.0	CpDpCbGuD	0.031523	0.50271	0.21557	dwpc	0
rephetio-v2.0_perm-1	CpDpCbGuD	0.045824	0.51222	0.13483	dwpc	1
rephetio-v2.0_perm-2	CpDpCbGuD	0.048686	0.51812	0.14614	dwpc	1
rephetio-v2.0_perm-3	CpDpCbGuD	0.049269	0.52194	0.15238	dwpc	1
rephetio-v2.0_perm-4	CpDpCbGuD	0.052542	0.52104	0.14873	dwpc	1
rephetio-v2.0_perm-5	CpDpCbGuD	0.047347	0.52015	0.1549	dwpc	1
rephetio-v2.0	CpDpCdGaD	0.093245	0.52325	0.2581	dwpc	0
rephetio-v2.0_perm-1	CpDpCdGaD	0.11064	0.53546	0.1436	dwpc	1
rephetio-v2.0_perm-2	CpDpCdGaD	0.11022	0.53256	0.14915	dwpc	1
rephetio-v2.0_perm-3	CpDpCdGaD	0.11842	0.52961	0.14101	dwpc	1
rephetio-v2.0_perm-4	CpDpCdGaD	0.11719	0.53256	0.14348	dwpc	1
rephetio-v2.0_perm-5	CpDpCdGaD	0.10297	0.52946	0.14412	dwpc	1
rephetio-v2.0	CpDpCdGdD	0.042649	0.51116	0.26309	dwpc	0
rephetio-v2.0_perm-1	CpDpCdGdD	0.052962	0.51607	0.13791	dwpc	1
rephetio-v2.0_perm-2	CpDpCdGdD	0.05197	0.52193	0.15138	dwpc	1
rephetio-v2.0_perm-3	CpDpCdGdD	0.052818	0.5233	0.15512	dwpc	1
rephetio-v2.0_perm-4	CpDpCdGdD	0.053966	0.52036	0.1475	dwpc	1
rephetio-v2.0_perm-5	CpDpCdGdD	0.048203	0.51728	0.14317	dwpc	1
rephetio-v2.0	CpDpCdGuD	0.046887	0.51512	0.26571	dwpc	0
rephetio-v2.0_perm-1	CpDpCdGuD	0.053533	0.51523	0.13661	dwpc	1
rephetio-v2.0_perm-2	CpDpCdGuD	0.053684	0.52253	0.15121	dwpc	1
rephetio-v2.0_perm-3	CpDpCdGuD	0.056652	0.52547	0.15632	dwpc	1
rephetio-v2.0_perm-4	CpDpCdGuD	0.058237	0.52522	0.15397	dwpc	1
rephetio-v2.0_perm-5	CpDpCdGuD	0.053195	0.51835	0.14233	dwpc	1
rephetio-v2.0	CpDpCpD	0.016689	0.52019	0.40461	dwpc	0
rephetio-v2.0_perm-1	CpDpCpD	0.028837	0.51581	0.16495	dwpc	1
rephetio-v2.0_perm-2	CpDpCpD	0.029555	0.51673	0.16368	dwpc	1
rephetio-v2.0_perm-3	CpDpCpD	0.030953	0.51302	0.14952	dwpc	1
rephetio-v2.0_perm-4	CpDpCpD	0.031753	0.51638	0.16014	dwpc	1
rephetio-v2.0_perm-5	CpDpCpD	0.024387	0.51232	0.15969	dwpc	1
rephetio-v2.0	CpDpCpDrD	0.041854	0.52167	0.30352	dwpc	0
rephetio-v2.0_perm-1	CpDpCpDrD	0.069665	0.51057	0.12353	dwpc	1
rephetio-v2.0_perm-2	CpDpCpDrD	0.071816	0.51758	0.13378	dwpc	1
rephetio-v2.0_perm-3	CpDpCpDrD	0.077098	0.52601	0.14885	dwpc	1
rephetio-v2.0_perm-4	CpDpCpDrD	0.078599	0.51456	0.13273	dwpc	1
rephetio-v2.0_perm-5	CpDpCpDrD	0.070308	0.50414	0.11699	dwpc	1
rephetio-v2.0	CpDpCrCpD	0.024636	0.51866	0.33177	dwpc	0
rephetio-v2.0_perm-1	CpDpCrCpD	0.045111	0.52088	0.1565	dwpc	1
rephetio-v2.0_perm-2	CpDpCrCpD	0.044974	0.52151	0.15824	dwpc	1
rephetio-v2.0_perm-3	CpDpCrCpD	0.041318	0.51986	0.15622	dwpc	1
rephetio-v2.0_perm-4	CpDpCrCpD	0.044568	0.52089	0.15649	dwpc	1
rephetio-v2.0_perm-5	CpDpCrCpD	0.039361	0.51489	0.14528	dwpc	1
rephetio-v2.0	CpDpCrCtD	0.052715	0.56104	0.44702	dwpc	0
rephetio-v2.0_perm-1	CpDpCrCtD	0.10178	0.53694	0.1569	dwpc	1
rephetio-v2.0_perm-2	CpDpCrCtD	0.090091	0.53993	0.17047	dwpc	1
rephetio-v2.0_perm-3	CpDpCrCtD	0.097402	0.52718	0.14501	dwpc	1
rephetio-v2.0_perm-4	CpDpCrCtD	0.098961	0.53327	0.15107	dwpc	1
rephetio-v2.0_perm-5	CpDpCrCtD	0.08842	0.52565	0.14331	dwpc	1
rephetio-v2.0	CpDpCtD	0.038146	0.56606	0.53887	dwpc	0
rephetio-v2.0_perm-1	CpDpCtD	0.043826	0.52274	0.16036	dwpc	1
rephetio-v2.0_perm-2	CpDpCtD	0.040263	0.53089	0.18915	dwpc	1
rephetio-v2.0_perm-3	CpDpCtD	0.041034	0.52882	0.17894	dwpc	1
rephetio-v2.0_perm-4	CpDpCtD	0.044141	0.51973	0.15274	dwpc	1
rephetio-v2.0_perm-5	CpDpCtD	0.034512	0.5146	0.14945	dwpc	1
rephetio-v2.0	CpDpCtDrD	0.045033	0.54229	0.40116	dwpc	0
rephetio-v2.0_perm-1	CpDpCtDrD	0.076374	0.51074	0.12216	dwpc	1
rephetio-v2.0_perm-2	CpDpCtDrD	0.065677	0.51135	0.12539	dwpc	1
rephetio-v2.0_perm-3	CpDpCtDrD	0.064461	0.51714	0.13399	dwpc	1
rephetio-v2.0_perm-4	CpDpCtDrD	0.088851	0.52393	0.13665	dwpc	1
rephetio-v2.0_perm-5	CpDpCtDrD	0.067598	0.51636	0.13485	dwpc	1
rephetio-v2.0	CpDpCuGaD	0.098278	0.52228	0.25051	dwpc	0
rephetio-v2.0_perm-1	CpDpCuGaD	0.12277	0.53178	0.1408	dwpc	1
rephetio-v2.0_perm-2	CpDpCuGaD	0.11294	0.52926	0.14655	dwpc	1
rephetio-v2.0_perm-3	CpDpCuGaD	0.1187	0.53145	0.14507	dwpc	1
rephetio-v2.0_perm-4	CpDpCuGaD	0.12402	0.52873	0.14514	dwpc	1
rephetio-v2.0_perm-5	CpDpCuGaD	0.11281	0.52489	0.13913	dwpc	1
rephetio-v2.0	CpDpCuGdD	0.04053	0.50898	0.25006	dwpc	0
rephetio-v2.0_perm-1	CpDpCuGdD	0.052819	0.51782	0.14365	dwpc	1
rephetio-v2.0_perm-2	CpDpCuGdD	0.050257	0.51934	0.14752	dwpc	1
rephetio-v2.0_perm-3	CpDpCuGdD	0.050405	0.52252	0.15996	dwpc	1
rephetio-v2.0_perm-4	CpDpCuGdD	0.057952	0.51957	0.14379	dwpc	1
rephetio-v2.0_perm-5	CpDpCuGdD	0.051911	0.51848	0.14432	dwpc	1
rephetio-v2.0	CpDpCuGuD	0.042914	0.50918	0.25288	dwpc	0
rephetio-v2.0_perm-1	CpDpCuGuD	0.054104	0.51622	0.13792	dwpc	1
rephetio-v2.0_perm-2	CpDpCuGuD	0.048829	0.51949	0.152	dwpc	1
rephetio-v2.0_perm-3	CpDpCuGuD	0.056368	0.52419	0.15275	dwpc	1
