degree_transformer	dwpc_scaler	dwpc_transformer	alpha	auroc	auroc_lower	auroc_upper	auprc	auprc_lower	auprc_upper
identity	mean	log1p	0	0.9916197535195851	0.9913235197792177	0.9919159872599524	0.9748211602429178	0.9741026022014995	0.975539718284336
log1p	sd	asinh	1	0.9912788474189671	0.990609314042095	0.9919483807958392	0.9704955318618284	0.9685338389177636	0.9724572248058931
identity	mean	asinh	0	0.9911956931713573	0.9909290843149731	0.9914623020277414	0.9737218505655028	0.9730628402698863	0.9743808608611192
identity	sd	log1p	0	0.9899723696329147	0.9895984878924668	0.9903462513733625	0.9712601827465883	0.970378924102008	0.9721414413911686
identity	sd	asinh	0	0.9890341651681963	0.9886470028373086	0.9894213274990841	0.9690987532334043	0.9681959242576509	0.9700015822091578
identity	mean	log1p	1	0.9884107275996694	0.9878894540239238	0.988932001175415	0.9657517108912425	0.96439436205164	0.9671090597308449
identity	mean	asinh	1	0.9881438533397665	0.9877230849129828	0.9885646217665502	0.9654567210863823	0.9643727488189046	0.96654069335386
identity	sd	log1p	1	0.9865680452611644	0.9859487717196735	0.9871873188026552	0.9614507449621496	0.9598362863616978	0.9630652035626013
identity	sd	asinh	1	0.985403534932669	0.9846975735479907	0.9861094963173472	0.9591189028251235	0.957324063802731	0.9609137418475159
log1p	none	log1p	0	0.9833137581684849	0.9825332743399046	0.9840942419970652	0.955885074250256	0.9540191120172993	0.9577510364832128
asinh	none	log1p	0	0.9833010394280757	0.9824667870541828	0.9841352918019686	0.9556855689022369	0.9536991804895109	0.9576719573149629
log1p	none	log1p	1	0.9827482566553893	0.9815858324505367	0.983910680860242	0.9496740283432773	0.9469533301846882	0.9523947265018664
log1p	none	asinh	0	0.9826425156791186	0.9819279296237898	0.9833571017344475	0.9543650778224333	0.9526704943303523	0.9560596613145143
asinh	none	asinh	0	0.9826220779790154	0.9818966788329114	0.9833474771251193	0.9541619117842941	0.9524469372429011	0.9558768863256871
log1p	none	identity	0	0.9826208938204282	0.9819055418006889	0.9833362458401674	0.9543223575711869	0.9526286168274923	0.9560160983148814
asinh	none	identity	0	0.9826065084864493	0.9818801198822628	0.9833328970906358	0.9541382685875627	0.9524204059950127	0.9558561311801127
asinh	none	log1p	1	0.9820608306653018	0.9809073231471367	0.9832143381834669	0.948040569802999	0.9453602001819468	0.9507209394240512
log1p	none	identity	1	0.9817053199420871	0.9804469390479544	0.9829637008362198	0.9472598211682997	0.9444335039119567	0.9500861384246426
log1p	none	asinh	1	0.9816877329941462	0.9804305867984203	0.9829448791898722	0.9472198699610146	0.9443978802868547	0.9500418596351745
identity	none	log1p	0	0.9814612955572073	0.9808958357179308	0.9820267553964838	0.9530326518329286	0.9516917104989171	0.9543735931669401
identity	none	identity	0	0.981072540678037	0.9804907271992389	0.981654354156835	0.9522170756321857	0.9508226833610719	0.9536114679032995
identity	none	asinh	0	0.9810289460988517	0.9804382046602843	0.9816196875374191	0.9521020822057613	0.9506888700064595	0.9535152944050631
asinh	none	identity	1	0.9807973773079943	0.9796576244187492	0.9819371301972395	0.9451309382978843	0.9425870028291595	0.9476748737666091
asinh	none	asinh	1	0.9807743958598125	0.979633921995723	0.9819148697239021	0.9450724334122464	0.942529127216186	0.9476157396083069
identity	none	log1p	1	0.9803673523090992	0.9793101642680153	0.9814245403501831	0.9468195108693138	0.9444992745904386	0.949139747148189
identity	none	identity	1	0.9800054383579575	0.9787771824001041	0.9812336943158109	0.9460529453006228	0.9433739782313036	0.9487319123699419
identity	none	asinh	1	0.9799845182228755	0.9787602655906854	0.9812087708550655	0.9459893031232397	0.9433163076828301	0.9486622985636493
