compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
5	13	0.0880036	0.000229802	0	2
5	14	0.0947267	0.000339278	0	1
5	15	0.100903	0.000196898	1	3
5	16	0.107835	0.000202718	0	3
5	21	0.140927	0.000225991	0	3
5	22	0.147253	0.000410556	1	1
5	25	0.16734	0.000432477	0	1
5	28	0.186708	0.000451476	0	1
5	29	0.194459	0.000458551	0	1
5	37	0.244087	0.000497666	0	1
5	51	0.324274	0.000542339	0	1
5	68	0.411504	0.000570149	1	1
6	1	0.00821669	1.10533e-05	0	84
6	2	0.0164449	2.61661e-05	0	30
6	3	0.0246535	3.56741e-05	2	24
6	4	0.0328519	3.05812e-05	4	42
6	5	0.0411257	6.47798e-05	0	12
6	6	0.0492871	4.94291e-05	1	24
6	7	0.057473	4.71589e-05	1	30
6	8	0.0658194	6.5446e-05	1	18
6	9	0.0738884	5.26479e-05	2	30
6	10	0.0821921	7.23979e-05	2	18
6	11	0.0902523	5.7356e-05	4	30
6	12	0.0981679	0.000137839	0	6
6	13	0.106383	0.00010003	2	12
6	14	0.114572	0.000147651	1	6
6	15	0.12238	8.58283e-05	2	18
6	16	0.130452	8.8048e-05	4	18
6	21	0.16942	9.74718e-05	3	18
6	22	0.177465	0.000177246	1	6
6	25	0.20007	0.000185567	0	6
6	28	0.222059	0.000192774	0	6
6	29	0.22962	0.000195393	1	6
6	37	0.285526	0.000209905	2	6
6	51	0.372916	0.000225141	1	6
6	68	0.462744	0.000232599	2	6
7	1	0.00986615	1.49211e-05	0	56
7	2	0.0197574	3.52617e-05	1	20
7	3	0.0296042	4.80201e-05	0	16
7	4	0.0393533	4.11349e-05	2	28
7	5	0.0490042	8.68327e-05	1	8
7	6	0.0588671	6.61471e-05	1	16
7	7	0.0685558	6.30145e-05	1	20
7	8	0.0781547	8.73376e-05	1	12
7	9	0.0877096	7.01267e-05	1	20
7	10	0.0972341	9.60937e-05	1	12
7	11	0.106635	7.61296e-05	2	20
7	12	0.116276	0.00018316	0	4
7	13	0.125649	0.000132529	1	8
7	14	0.134687	0.000194952	2	4
7	15	0.144096	0.000113275	1	12
7	16	0.153076	0.000115988	3	12
7	21	0.197344	0.00012758	2	12
7	22	0.206518	0.000231378	1	4
7	25	0.231279	0.000241168	2	4
7	28	0.256217	0.000249734	1	4
7	29	0.264749	0.000252279	1	4
7	37	0.325373	0.000268362	0	4
7	51	0.417138	0.000283029	2	4
7	68	0.507964	0.000287565	1	4
8	1	0.0116007	2.30486e-05	1	28
8	2	0.0232668	5.44977e-05	0	10
8	3	0.0347438	7.39705e-05	0	8
8	4	0.0461464	6.3239e-05	0	14
8	5	0.0574942	0.000133308	0	4
8	6	0.0687261	0.000101415	0	8
8	7	0.0799118	9.65633e-05	0	10
8	8	0.0911274	0.000133499	0	6
8	9	0.101916	0.00010698	2	10
8	10	0.112966	0.000146544	1	6
8	11	0.123485	0.000115666	1	10
8	12	0.134521	0.00027778	0	2
8	13	0.144717	0.000200983	0	4
8	14	0.155488	0.000295102	0	2
8	15	0.165774	0.000170998	1	6
8	16	0.175757	0.00017482	2	6
8	21	0.225033	0.000190858	1	6
8	22	0.235043	0.000345678	1	2
8	25	0.262001	0.000358208	1	2
8	28	0.288809	0.00036954	1	2
8	29	0.298158	0.000373341	1	2
8	37	0.362309	0.000392257	2	2
8	51	0.457173	0.00040661	1	2
8	68	0.547894	0.00040637	0	2
9	1	0.0134741	2.47873e-05	0	28
9	2	0.0268393	5.83933e-05	0	10
9	3	0.039878	7.89699e-05	1	8
9	4	0.0532642	6.76116e-05	0	14
9	5	0.0660556	0.000142473	1	4
9	6	0.0789105	0.000108028	0	8
9	7	0.0917141	0.000102617	1	10
9	8	0.104314	0.000141759	0	6
9	9	0.11666	0.000113406	2	10
9	10	0.12844	0.000154407	0	6
9	11	0.140765	0.000122181	1	10
9	12	0.1528	0.000293184	0	2
9	13	0.164479	0.000211404	1	4
9	14	0.175731	0.000309962	0	2
9	15	0.187201	0.000179291	1	6
9	16	0.198642	0.000183273	2	6
9	21	0.252568	0.000198867	2	6
9	22	0.262636	0.000358549	0	2
9	25	0.292639	0.000370999	1	2
9	28	0.320175	0.000380402	1	2
9	29	0.329524	0.000383485	0	2
9	37	0.397274	0.000398848	0	2
9	51	0.493741	0.000408346	2	2
9	68	0.584384	0.000402894	2	2
10	1	0.0154541	2.64736e-05	0	28
10	2	0.0306303	6.21492e-05	0	10
10	3	0.0457284	8.40223e-05	0	8
10	4	0.0605948	7.16893e-05	1	14
10	5	0.0749606	0.00015088	0	4
